"Age","Lili","Pasdefond","Francis","Clo","FFmean"
2650,5.8687261301963,3.15944193390599,6.10053512507391,2.21285452674207,4.33538942897957
2660,5.89670288127072,3.14109349130588,6.06469793973452,2.20166192548114,4.32603905944806
2670,5.92478614581656,3.12316836407993,6.02895636488028,2.19037895723847,4.31682245800381
2680,5.95299207396707,3.10561232645612,5.99331975438362,2.17899872297971,4.30773071944663
2690,5.98128292634826,3.08837957070849,5.95782001533259,2.16754547975666,4.2987569980365
2700,6.00963215698491,3.07146724070553,5.92244933675198,2.15601867542108,4.28989185246587
2710,6.03803324894748,3.05495606521118,5.8872474620527,2.14442964616331,4.28116660559366
2720,6.0664811657713,3.0388263382133,5.85220856941951,2.13278995222892,4.27257650640826
2730,6.09493938819906,3.02301516081453,5.81735505457038,2.12110131728178,4.26410273021644
2740,6.12339943572477,3.00751766715573,5.78270651472132,2.10937986436718,4.25575087049225
2750,6.15184418685116,2.99239331094318,5.74825403625781,2.09763020948275,4.24753043588372
2760,6.18024577951119,2.97765592905689,5.71405167136375,2.08586271762578,4.2394540243894
2770,6.20859939769444,2.96322743459062,5.6800670477037,2.07408638253135,4.23149506563003
2780,6.23689312868462,2.94910115139013,5.64634735702282,2.0623096908027,4.22366283197507
2790,6.26507407796004,2.93531603737309,5.61288508115973,2.05054099240733,4.21595404722505
2800,6.29314698147462,2.92191701924673,5.57969167623707,2.03879070695309,4.20838659597788
2810,6.32110973681338,2.90881328019619,5.54680074072644,2.02706608522619,4.20094746074055
2820,6.34893121716174,2.89599660744068,5.51418131947037,2.0153749577458,4.19362102545465
2830,6.37654446496705,2.88348704412158,5.48190409555137,2.00373040212345,4.18641650169086
2840,6.40399490404359,2.87135712563301,5.44992221704336,1.99213363386509,4.17935197014626
2850,6.43126793916431,2.8595060637899,5.41827995287863,1.9806012458142,4.17241380041176
2860,6.4582806010916,2.84792443677228,5.38697771491557,1.96913534902956,4.16557952545225
2870,6.48503286150301,2.83661549642479,5.35600784436616,1.95774400659875,4.15885005222318
2880,6.51155816516327,2.82567537959679,5.32542452675407,1.94644255300438,4.15227515612963
2890,6.53783419331704,2.81499611458179,5.29517583290756,1.93522595590838,4.14580802417869
2900,6.5637010872856,2.80456742630552,5.26533406795391,1.92411702296878,4.13942990112845
2910,6.58928516326108,2.79438601350796,5.23585632737067,1.91311099731203,4.13315962536294
2920,6.61457171179209,2.78454454932442,5.20677243748065,1.90221743950266,4.12702653452496
2930,6.63947072291576,2.77495245527241,5.17809796211094,1.89145161948063,4.12099318994493
2940,6.66392501152583,2.76559263846984,5.14980039560221,1.88080334095472,4.11503034663815
2950,6.68803172908105,2.75646141296069,5.12195864053294,1.87030129616221,4.10918826968422
2960,6.7117683655821,2.7476318201706,5.09449939215142,1.85993260010955,4.10345804450342
2970,6.73494940385425,2.73904474840877,5.06749088328987,1.8497093223966,4.09779858948737
2980,6.75768374229637,2.73067324291773,5.04090201858357,1.83964454237868,4.09222588654408
2990,6.78000314812648,2.72251312226771,5.01474179344449,1.82972411345211,4.0867455443227
3000,6.80183618851678,2.71462069180306,4.98904566654949,1.81998189072744,4.08137110939919
3010,6.82301505550814,2.70696436733794,4.96375658034716,1.81039621197646,4.07603305379243
3020,6.84372931664545,2.69950919126039,4.93896905527641,1.80098230560975,4.070797467198
3030,6.86395831583468,2.6922507491213,4.9145999645467,1.79174930141864,4.06563958273033
3040,6.88352089447788,2.68523131997814,4.89070537917138,1.78268036789749,4.06053449038122
3050,6.90245127315857,2.67844349381792,4.86727139839105,1.77381341794678,4.05549489582858
3060,6.92085833764119,2.67184564450197,4.84428226150121,1.76511807330312,4.05052607923687
3070,6.93871164737939,2.66543332291071,4.82179551628804,1.75661292703544,4.0456383534034
3080,6.95569606145051,2.6592370512794,4.79973693651356,1.74830191109774,4.0407429900853
3090,6.9721055063706,2.65327119698602,4.77819131069305,1.74016682127554,4.0359337088313
3100,6.98792812895586,2.64748813091762,4.75709220066092,1.73224794566388,4.03118910154957
3110,7.00301472132728,2.64188347823639,4.73647209006367,1.72450723739537,4.02646938175568
3120,7.01727483599138,2.63647763621911,4.71633712843368,1.71696629242023,4.0217639732661
3130,7.03091483443468,2.63130556080471,4.69664544247314,1.70962321538089,4.01712226327336
3140,7.04390871378246,2.62631353950091,4.67747624623565,1.70246150558775,4.01254000127669
3150,7.05596459337097,2.62149727184434,4.65874008691379,1.69551620220441,4.00792953858338
3160,7.06727955877109,2.61686789973702,4.64050832094301,1.68874905006636,4.00335120737937
3170,7.0779269366065,2.61248109605175,4.62273478377559,1.68218189713654,3.99883117839259
3180,7.08781430190342,2.60827623656495,4.60542634965182,1.67580702958108,3.99433097942531
3190,7.09668738566294,2.60424897493678,4.58860949444197,1.66961049887407,3.98978908847894
3200,7.10486629267331,2.60040126355674,4.5722191625034,1.66362056676217,3.98527682137391
3210,7.11233166346925,2.59681089139381,4.55634838569066,1.65780055876923,3.98082287483074
3220,7.1188425498761,2.5934088226908,4.54090063998878,1.65217148595362,3.97633087462733
3230,7.12445596737825,2.59019042288483,4.52592990190674,1.64672047435377,3.9718241916309
