"Age","Castor","Gagnon","Perche","Desperiers","Labelle","FFmean"
4510,7.47081784543639,5.21402382880845,NA,NA,8.04891540721281,6.91125236048588
4520,7.48853993560328,5.22686592099807,NA,NA,8.0647775659589,6.92672780752008
4530,7.50688192663092,5.24008925017778,NA,NA,8.08040644018886,6.94245920566585
4540,7.52581308431362,5.25366410806282,NA,NA,8.09575614344931,6.95841111194191
4550,7.54531386169213,5.26758829124607,NA,NA,8.1107867890177,6.97456298065197
4560,7.56536423686184,5.28186372311788,NA,NA,8.12550046365547,6.99090947454506
4570,7.5859437406479,5.29649215678135,NA,NA,8.13985918890232,7.00743169544386
4580,7.6070666004578,5.31148012442957,NA,NA,8.15379221636902,7.02411298041879
4590,7.62869251813763,5.32686251029499,NA,NA,8.16732795059455,7.04096099300906
4600,7.65078095737372,5.34259996224293,NA,NA,8.18043538702636,7.05793876888101
4610,7.67330803805936,5.35869223692073,NA,NA,8.19302798948975,7.07500942148995
4620,7.69625139048791,5.37513862158509,NA,NA,8.20513637346452,7.09217546184584
4630,7.71958837143703,5.39193857584441,NA,NA,8.21674299745368,7.10942331491171
